CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster
12347,2,7,4060.4,5,4,5,545,3
12348,75,4,1186.68,2,4,4,244,2
12349,19,1,1353.8,4,1,4,414,1
12350,310,1,294.4,1,1,2,112,4
12352,36,8,1265.41,3,5,4,354,2
12353,204,1,89.0,1,1,1,111,4
12354,232,1,1028.55,1,1,4,114,4
12355,214,1,459.4,1,1,3,113,4
12356,23,3,2487.43,4,3,5,435,2
12357,33,1,6182.67,3,1,5,315,2
12358,2,2,928.0600000000001,5,2,4,524,0
12359,8,6,4704.13,5,4,5,545,0
12360,52,3,2200.36,3,3,5,335,2
12361,287,1,189.9,1,1,1,111,4
12362,3,13,4888.13,5,5,5,555,3
12363,110,2,552.0,2,2,3,223,4
12364,8,4,1248.3,5,4,4,544,0
12365,291,1,320.69,1,1,2,112,4
12367,4,1,150.9,5,1,1,511,1
12370,51,4,3300.98,3,4,5,345,2
12371,60,1,1527.96,3,1,4,314,2
12372,72,3,1226.04,2,3,4,234,2
12373,311,1,324.6,1,1,2,112,4
12374,25,1,589.03,4,1,3,413,1
12375,3,3,375.42,5,3,2,532,0
12377,315,2,1548.12,1,2,4,124,2
12378,130,1,3899.29,2,1,5,215,2
12379,82,3,850.29,2,3,3,233,2
12380,22,5,2318.86,4,4,5,445,0
12381,5,6,1443.96,5,4,4,544,0
12383,185,6,1715.47,1,4,4,144,2
12384,29,3,406.16,4,3,2,432,1
12386,338,2,401.9,1,2,2,122,4
12388,16,6,2780.66,4,4,5,445,0
12390,80,1,515.94,2,1,3,213,1
12391,22,1,422.71,4,1,2,412,1
12393,72,4,1582.6000000000001,2,4,4,244,2
12394,64,2,659.92,3,2,3,323,1
12395,16,15,2832.33,4,5,5,455,3
12397,36,2,2291.25,3,2,5,325,2
12398,46,1,1435.66,3,1,4,314,1
12399,119,4,1108.65,2,4,4,244,2
12401,303,1,84.3,1,1,1,111,4
12402,323,1,225.6,1,1,1,111,4
12403,50,1,391.7,3,1,2,312,1
12405,149,1,1390.39,2,1,4,214,2
12406,22,3,3280.75,4,3,5,435,2
12407,50,5,1585.08,3,4,4,344,2
12408,33,9,2740.87,3,5,5,355,2
12409,79,7,10934.53,2,4,5,245,2
12410,301,3,521.08,1,3,3,133,4
12412,75,3,1172.88,2,3,4,234,2
12413,67,4,646.2,3,4,3,343,2
12414,217,3,442.41,1,3,2,132,4
12415,25,19,66078.02,4,5,5,455,3
12417,3,11,3309.15,5,5,5,555,3
12418,113,1,668.58,2,1,3,213,4
12420,64,1,566.49,3,1,3,313,1
12421,16,5,638.27,4,4,3,443,0
12422,96,3,683.5600000000001,2,3,3,233,2
12423,1,9,1815.21,5,5,4,554,0
12424,163,2,1608.3200000000002,2,2,4,224,2
12425,78,1,777.2,2,1,3,213,1
12426,195,1,493.78000000000003,1,1,3,113,4
12427,12,5,521.89,4,4,3,443,0
12428,26,11,6332.1,4,5,5,455,3
12429,9,4,3388.4,5,4,5,545,0
12430,43,1,216.4,3,1,1,311,1
12431,60,17,5104.1,3,5,5,355,3
12432,43,4,4089.52,3,4,5,345,2
12433,1,7,12856.51,5,4,5,545,3
12434,85,4,765.19,2,4,3,243,2
12435,80,2,7120.450000000001,2,2,5,225,2
12436,100,1,429.01000000000005,2,1,2,212,4
12437,2,19,4392.66,5,5,5,555,3
12438,14,2,2466.85,4,2,5,425,0
12441,367,1,155.55,1,1,1,111,4
12442,3,1,144.06,5,1,1,511,1
12444,21,5,3647.61,4,4,5,445,0
12445,22,1,77.4,4,1,1,411,1
12446,58,1,1002.3100000000001,3,1,4,314,1
12447,243,1,476.49,1,1,3,113,4
12448,44,1,300.45,3,1,2,312,1
12449,22,4,3941.29,4,4,5,445,0
12450,156,2,197.88,2,2,1,221,4
12451,11,6,8673.17,5,4,5,545,3
12452,17,2,348.57,4,2,2,422,1
12453,134,1,707.09,2,1,3,213,4
12455,73,6,2196.46,2,4,5,245,2
12456,44,4,2553.89,3,4,5,345,2
12457,58,11,1462.18,3,5,4,354,2
12458,71,2,787.4,2,2,3,223,2
12461,155,1,626.88,2,1,3,213,4
12462,2,4,872.01,5,4,4,544,0
12463,46,7,1159.63,3,4,4,344,2
12464,10,8,1110.35,5,5,4,554,0
